formattedTime-value
Oct 28, 2015 at 7:00 AM-57.208333333333336
Oct 29, 2015 at 7:00 AM-32.791666666666664
Oct 30, 2015 at 7:00 AM-33.583333333333336
Oct 31, 2015 at 7:00 AM-31.291666666666668
Nov 1, 2015 at 7:00 AM-32.666666666666664
Nov 2, 2015 at 7:00 AM-36.083333333333336
Nov 3, 2015 at 7:00 AM-49.958333333333336
Nov 4, 2015 at 7:00 AM-68.08333333333333
Nov 5, 2015 at 7:00 AM-69.0
Nov 6, 2015 at 7:00 AM-47.333333333333336
Nov 7, 2015 at 7:00 AM-40.25
Nov 8, 2015 at 7:00 AM-37.041666666666664
Nov 9, 2015 at 7:00 AM-41.875
Nov 10, 2015 at 7:00 AM-38.041666666666664
Nov 11, 2015 at 7:00 AM-37.666666666666664
Nov 12, 2015 at 7:00 AM-64.0
Nov 13, 2015 at 7:00 AM-65.41666666666667
Nov 14, 2015 at 7:00 AM-52.75
Nov 15, 2015 at 7:00 AM-56.5
Nov 16, 2015 at 7:00 AM-56.375
Nov 17, 2015 at 7:00 AM-60.333333333333336
Nov 18, 2015 at 7:00 AM-60.208333333333336
Nov 19, 2015 at 7:00 AM-56.708333333333336
Nov 20, 2015 at 7:00 AM-57.041666666666664
Nov 21, 2015 at 7:00 AM-61.291666666666664
Nov 22, 2015 at 7:00 AM-53.25
Nov 23, 2015 at 7:00 AM-54.375
Nov 24, 2015 at 7:00 AM-55.666666666666664
Nov 25, 2015 at 7:00 AM-51.666666666666664
Nov 26, 2015 at 7:00 AM-62.5
Nov 27, 2015 at 7:00 AM-60.625
Nov 28, 2015 at 7:00 AM-58.041666666666664
Nov 29, 2015 at 7:00 AM-58.25
Nov 30, 2015 at 7:00 AM-66.125
Dec 1, 2015 at 7:00 AM-65.95833333333333
Dec 2, 2015 at 7:00 AM-69.08333333333333
Dec 3, 2015 at 7:00 AM-29.875
Dec 4, 2015 at 7:00 AM-27.583333333333332
Dec 5, 2015 at 7:00 AM-26.0
Dec 6, 2015 at 7:00 AM-30.0
Dec 7, 2015 at 7:00 AM-30.291666666666668
Dec 8, 2015 at 7:00 AM-40.208333333333336
Dec 9, 2015 at 7:00 AM-78.25
Dec 10, 2015 at 7:00 AM-70.08333333333333
Dec 11, 2015 at 7:00 AM-57.375
Dec 12, 2015 at 7:00 AM-50.333333333333336
Dec 13, 2015 at 7:00 AM-44.875
Dec 14, 2015 at 7:00 AM-47.083333333333336
Dec 15, 2015 at 7:00 AM-48.5
Dec 16, 2015 at 7:00 AM-46.0
Dec 17, 2015 at 7:00 AM-61.958333333333336
Dec 18, 2015 at 7:00 AM-54.875
Dec 19, 2015 at 7:00 AM-49.083333333333336
Dec 20, 2015 at 7:00 AM-52.0
Dec 21, 2015 at 7:00 AM-54.916666666666664
Dec 22, 2015 at 7:00 AM-51.5
Dec 23, 2015 at 7:00 AM-54.708333333333336
Dec 24, 2015 at 7:00 AM-59.625
Dec 25, 2015 at 7:00 AM-53.375
Dec 26, 2015 at 7:00 AM-59.083333333333336
Dec 27, 2015 at 7:00 AM-53.375
Dec 28, 2015 at 7:00 AM-55.625
Dec 29, 2015 at 7:00 AM-54.625
Dec 30, 2015 at 7:00 AM-58.625
Dec 31, 2015 at 7:00 AM-56.791666666666664
Jan 1, 2016 at 7:00 AM-52.666666666666664
Jan 2, 2016 at 7:00 AM-52.708333333333336
Jan 3, 2016 at 7:00 AM-62.041666666666664
Jan 4, 2016 at 7:00 AM-55.666666666666664
Jan 5, 2016 at 7:00 AM-59.166666666666664
Jan 6, 2016 at 7:00 AM-53.833333333333336
Jan 7, 2016 at 7:00 AM-60.5
Jan 8, 2016 at 7:00 AM-57.75
Jan 9, 2016 at 7:00 AM-52.375
Jan 10, 2016 at 7:00 AM-46.291666666666664
Jan 11, 2016 at 7:00 AM-49.625
Jan 12, 2016 at 7:00 AM-45.083333333333336
Jan 13, 2016 at 7:00 AM-50.25
Jan 14, 2016 at 7:00 AM-42.666666666666664
Jan 15, 2016 at 7:00 AM-55.375
Jan 16, 2016 at 7:00 AM-62.0
Jan 17, 2016 at 7:00 AM-53.041666666666664
Jan 18, 2016 at 7:00 AM-51.208333333333336
Jan 19, 2016 at 7:00 AM-49.458333333333336
Jan 20, 2016 at 7:00 AM-52.916666666666664
Jan 21, 2016 at 7:00 AM-64.125
Jan 22, 2016 at 7:00 AM-65.33333333333333
Jan 23, 2016 at 7:00 AM-60.208333333333336
Jan 24, 2016 at 7:00 AM-53.125
Jan 25, 2016 at 7:00 AM-55.708333333333336
Jan 26, 2016 at 7:00 AM-58.458333333333336
Jan 27, 2016 at 7:00 AM-55.916666666666664
Jan 28, 2016 at 7:00 AM-62.958333333333336
Jan 29, 2016 at 7:00 AM-61.583333333333336
Jan 30, 2016 at 7:00 AM-60.0
Jan 31, 2016 at 7:00 AM-53.666666666666664
Feb 1, 2016 at 7:00 AM-62.333333333333336
Feb 2, 2016 at 7:00 AM-57.125
Feb 3, 2016 at 7:00 AM-58.083333333333336
Feb 4, 2016 at 7:00 AM-58.25
Feb 5, 2016 at 7:00 AM-60.291666666666664
Feb 6, 2016 at 7:00 AM-56.708333333333336
Feb 7, 2016 at 7:00 AM-59.875
Feb 8, 2016 at 7:00 AM-57.833333333333336
Feb 9, 2016 at 7:00 AM-62.833333333333336
Feb 10, 2016 at 7:00 AM-67.04166666666667
Feb 11, 2016 at 7:00 AM-58.333333333333336
Feb 12, 2016 at 7:00 AM-57.416666666666664
Feb 13, 2016 at 7:00 AM-51.541666666666664
Feb 14, 2016 at 7:00 AM-54.708333333333336
Feb 15, 2016 at 7:00 AM-64.20833333333333
Feb 16, 2016 at 7:00 AM-62.333333333333336
Feb 17, 2016 at 7:00 AM-59.458333333333336
Feb 18, 2016 at 7:00 AM-64.83333333333333
Feb 19, 2016 at 7:00 AM-58.291666666666664
Feb 20, 2016 at 7:00 AM-51.958333333333336
Feb 21, 2016 at 7:00 AM-54.875
Feb 22, 2016 at 7:00 AM-51.458333333333336
Feb 23, 2016 at 7:00 AM-56.25
Feb 24, 2016 at 7:00 AM-57.375
Feb 25, 2016 at 7:00 AM-54.791666666666664
Feb 26, 2016 at 7:00 AM-60.708333333333336
Feb 27, 2016 at 7:00 AM-60.833333333333336
Feb 28, 2016 at 7:00 AM-54.875
Feb 29, 2016 at 7:00 AM-56.041666666666664
Mar 1, 2016 at 7:00 AM-60.0
Mar 2, 2016 at 7:00 AM-60.25
Mar 3, 2016 at 7:00 AM-54.583333333333336
Mar 4, 2016 at 7:00 AM-52.958333333333336
Mar 5, 2016 at 7:00 AM-59.833333333333336
Mar 6, 2016 at 7:00 AM-50.625
Mar 7, 2016 at 7:00 AM-54.541666666666664
Mar 8, 2016 at 7:00 AM-52.625
Mar 9, 2016 at 7:00 AM-55.833333333333336
Mar 10, 2016 at 7:00 AM-65.25
Mar 11, 2016 at 7:00 AM-61.958333333333336
Mar 12, 2016 at 7:00 AM-60.958333333333336
Mar 13, 2016 at 7:00 AM-61.583333333333336
Mar 14, 2016 at 7:00 AM-67.08333333333333
Mar 15, 2016 at 7:00 AM-68.375
Mar 16, 2016 at 7:00 AM-65.54166666666667
Mar 17, 2016 at 7:00 AM-56.916666666666664
Mar 18, 2016 at 7:00 AM-53.875
Mar 19, 2016 at 7:00 AM-54.75
Mar 20, 2016 at 7:00 AM-59.833333333333336
Mar 21, 2016 at 7:00 AM-60.041666666666664
Mar 22, 2016 at 7:00 AM-56.875
Mar 23, 2016 at 7:00 AM-56.5
Mar 24, 2016 at 7:00 AM-64.29166666666667
Mar 25, 2016 at 7:00 AM-53.375
Mar 26, 2016 at 7:00 AM-56.25
Mar 27, 2016 at 7:00 AM-60.666666666666664
Mar 28, 2016 at 7:00 AM-59.208333333333336
Mar 29, 2016 at 7:00 AM-62.333333333333336
Mar 30, 2016 at 7:00 AM-64.20833333333333
Mar 31, 2016 at 7:00 AM-61.291666666666664
Apr 1, 2016 at 7:00 AM-56.333333333333336
Apr 2, 2016 at 7:00 AM-56.458333333333336
Apr 3, 2016 at 7:00 AM-56.416666666666664
Apr 4, 2016 at 7:00 AM-55.75
Apr 5, 2016 at 7:00 AM-59.625
Apr 6, 2016 at 7:00 AM-60.916666666666664
Apr 7, 2016 at 7:00 AM-56.791666666666664
Apr 8, 2016 at 7:00 AM-55.833333333333336
Apr 9, 2016 at 7:00 AM-52.583333333333336
Apr 10, 2016 at 7:00 AM-60.041666666666664
Apr 11, 2016 at 7:00 AM-56.916666666666664
Apr 12, 2016 at 7:00 AM-63.208333333333336
Apr 13, 2016 at 7:00 AM-62.375
Apr 14, 2016 at 7:00 AM-52.833333333333336
Apr 15, 2016 at 7:00 AM-52.375
Apr 16, 2016 at 7:00 AM-49.458333333333336
Apr 17, 2016 at 7:00 AM-50.958333333333336
Apr 18, 2016 at 7:00 AM-55.416666666666664
